Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
07/08/93,14h30,Bayern Munich,Freiburg,3,1,H,,,,,,,,,,,,,,,,
07/08/93,19h30,Dortmund,Karlsruhe,2,1,H,,,,,,,,,,,,,,,,
07/08/93,19h30,Duisburg,Leverkusen,2,2,D,,,,,,,,,,,,,,,,
07/08/93,17h30,FC Koln,Kaiserslautern,0,2,A,,,,,,,,,,,,,,,,
07/08/93,19h30,Hamburg,Nurnberg,5,2,H,,,,,,,,,,,,,,,,
07/08/93,19h30,Leipzig,Dresden,3,3,D,,,,,,,,,,,,,,,,
07/08/93,19h30,M'Gladbach,Ein Frankfurt,0,4,A,,,,,,,,,,,,,,,,
07/08/93,17h30,Wattenscheid,Schalke 04,3,0,H,,,,,,,,,,,,,,,,
07/08/93,14h30,Werder Bremen,Stuttgart,5,1,H,,,,,,,,,,,,,,,,
14/08/93,17h30,Dresden,Duisburg,0,1,A,,,,,,,,,,,,,,,,
14/08/93,14h30,Ein Frankfurt,Werder Bremen,2,2,D,,,,,,,,,,,,,,,,
14/08/93,14h30,Freiburg,Wattenscheid,4,1,H,,,,,,,,,,,,,,,,
14/08/93,19h30,Kaiserslautern,M'Gladbach,4,2,H,,,,,,,,,,,,,,,,
14/08/93,19h30,Karlsruhe,Hamburg,2,0,H,,,,,,,,,,,,,,,,
14/08/93,19h30,Leverkusen,Bayern Munich,2,1,H,,,,,,,,,,,,,,,,
14/08/93,14h30,Nurnberg,FC Koln,1,0,H,,,,,,,,,,,,,,,,
14/08/93,17h30,Schalke 04,Dortmund,1,0,H,,,,,,,,,,,,,,,,
14/08/93,19h30,Stuttgart,Leipzig,0,0,D,,,,,,,,,,,,,,,,
21/08/93,19h30,Bayern Munich,Dresden,5,0,H,,,,,,,,,,,,,,,,
21/08/93,14h30,Dortmund,Freiburg,3,2,H,,,,,,,,,,,,,,,,
21/08/93,14h30,Duisburg,Stuttgart,2,2,D,,,,,,,,,,,,,,,,
21/08/93,17h30,Ein Frankfurt,Kaiserslautern,1,0,H,,,,,,,,,,,,,,,,
21/08/93,19h30,FC Koln,Karlsruhe,2,1,H,,,,,,,,,,,,,,,,
21/08/93,14h30,Hamburg,Schalke 04,4,1,H,,,,,,,,,,,,,,,,
21/08/93,17h30,M'Gladbach,Nurnberg,2,0,H,,,,,,,,,,,,,,,,
21/08/93,19h30,Wattenscheid,Leverkusen,1,2,A,,,,,,,,,,,,,,,,
21/08/93,19h30,Werder Bremen,Leipzig,3,1,H,,,,,,,,,,,,,,,,
28/08/93,14h30,Dresden,Wattenscheid,1,1,D,,,,,,,,,,,,,,,,
28/08/93,17h30,Freiburg,Hamburg,0,1,A,,,,,,,,,,,,,,,,
28/08/93,19h30,Kaiserslautern,Werder Bremen,2,3,A,,,,,,,,,,,,,,,,
28/08/93,17h30,Karlsruhe,M'Gladbach,1,0,H,,,,,,,,,,,,,,,,
28/08/93,19h30,Leipzig,Duisburg,1,1,D,,,,,,,,,,,,,,,,
28/08/93,17h30,Leverkusen,Dortmund,2,1,H,,,,,,,,,,,,,,,,
28/08/93,17h30,Nurnberg,Ein Frankfurt,1,5,A,,,,,,,,,,,,,,,,
28/08/93,17h30,Schalke 04,FC Koln,1,2,A,,,,,,,,,,,,,,,,
28/08/93,14h30,Stuttgart,Bayern Munich,2,2,D,,,,,,,,,,,,,,,,
01/09/93,14h30,Bayern Munich,Leipzig,3,0,H,,,,,,,,,,,,,,,,
01/09/93,17h30,Dortmund,Dresden,4,0,H,,,,,,,,,,,,,,,,
01/09/93,14h30,Ein Frankfurt,Karlsruhe,3,1,H,,,,,,,,,,,,,,,,
01/09/93,19h30,FC Koln,Freiburg,2,0,H,,,,,,,,,,,,,,,,
01/09/93,14h30,Hamburg,Leverkusen,2,1,H,,,,,,,,,,,,,,,,
01/09/93,14h30,Kaiserslautern,Nurnberg,3,1,H,,,,,,,,,,,,,,,,
01/09/93,19h30,M'Gladbach,Schalke 04,3,2,H,,,,,,,,,,,,,,,,
01/09/93,14h30,Wattenscheid,Stuttgart,2,4,A,,,,,,,,,,,,,,,,
01/09/93,19h30,Werder Bremen,Duisburg,1,5,A,,,,,,,,,,,,,,,,
04/09/93,14h30,Dresden,Hamburg,1,1,D,,,,,,,,,,,,,,,,
