Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
21/08/99,16h00,Ath Bilbao,Betis,1,0,H,0,0,D,,,,,,,,,,,,,
21/08/99,21h00,Mallorca,Real Madrid,1,2,A,0,0,D,,,,,,,,,,,,,
21/08/99,16h00,Valencia,Santander,1,2,A,0,1,A,,,,,,,,,,,,,
22/08/99,21h00,Ath Madrid,Vallecano,0,2,A,0,1,A,,,,,,,,,,,,,
22/08/99,16h00,Barcelona,Zaragoza,2,0,H,0,0,D,,,,,,,,,,,,,
22/08/99,16h00,La Coruna,Alaves,4,1,H,3,1,H,,,,,,,,,,,,,
22/08/99,18h30,Malaga,Espanol,1,0,H,0,0,D,,,,,,,,,,,,,
22/08/99,16h00,Numancia,Valladolid,1,0,H,1,0,H,,,,,,,,,,,,,
22/08/99,21h00,Oviedo,Celta,1,0,H,0,0,D,,,,,,,,,,,,,
22/08/99,16h00,Sevilla,Sociedad,2,2,D,2,1,H,,,,,,,,,,,,,
28/08/99,18h30,Sociedad,Ath Madrid,4,1,H,0,1,A,,,,,,,,,,,,,
29/08/99,16h00,Alaves,Malaga,2,1,H,0,1,A,,,,,,,,,,,,,
29/08/99,18h30,Betis,La Coruna,0,0,D,0,0,D,,,,,,,,,,,,,
29/08/99,16h00,Celta,Sevilla,2,1,H,1,0,H,,,,,,,,,,,,,
29/08/99,18h30,Espanol,Valencia,3,2,H,2,0,H,,,,,,,,,,,,,
29/08/99,18h30,Real Madrid,Numancia,4,1,H,0,0,D,,,,,,,,,,,,,
29/08/99,16h00,Santander,Barcelona,1,2,A,0,2,A,,,,,,,,,,,,,
29/08/99,21h00,Valladolid,Ath Bilbao,1,0,H,1,0,H,,,,,,,,,,,,,
29/08/99,18h30,Vallecano,Mallorca,2,1,H,0,1,A,,,,,,,,,,,,,
29/08/99,16h00,Zaragoza,Oviedo,4,0,H,2,0,H,,,,,,,,,,,,,
11/09/99,16h00,Barcelona,Espanol,3,0,H,0,0,D,,,,,,,,,,,,,
