Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
09/08/13,21h00,Montpellier,Paris SG,1,1,D,1,0,H,,6,12,1,4,22,18,1,8,2,2,1,0
10/08/13,17h00,Bordeaux,Monaco,0,2,A,0,0,D,,11,13,2,6,16,11,3,7,1,0,0,0
10/08/13,21h00,Evian Thonon Gaillard,Sochaux,1,1,D,1,0,H,,15,9,8,6,13,18,5,5,1,2,0,0
10/08/13,21h00,Lille,Lorient,1,0,H,1,0,H,,6,6,3,3,18,18,4,3,1,1,0,1
10/08/13,21h00,Lyon,Nice,4,0,H,1,0,H,,12,11,6,5,20,9,2,5,1,0,0,0
10/08/13,21h00,Nantes,Bastia,2,0,H,1,0,H,,7,9,3,0,14,14,2,2,1,3,1,1
10/08/13,19h00,Rennes,Reims,2,1,H,1,1,D,,13,15,6,5,7,15,4,8,1,2,0,0
10/08/13,19h00,Valenciennes,Toulouse,3,0,H,1,0,H,,19,2,7,1,22,12,6,0,2,0,0,1
11/08/13,19h00,Ajaccio,St Etienne,0,1,A,0,1,A,,7,8,1,2,16,20,1,3,0,1,1,0
11/08/13,17h00,Guingamp,Marseille,1,3,A,0,3,A,,13,16,5,7,16,19,9,3,2,4,0,0
16/08/13,19h00,Sochaux,Lyon,1,3,A,1,2,A,,11,15,8,8,14,19,8,5,3,0,0,0
17/08/13,21h00,Bastia,Valenciennes,2,0,H,0,0,D,,9,7,2,3,13,15,6,4,2,2,0,0
17/08/13,19h00,Marseille,Evian Thonon Gaillard,2,0,H,1,0,H,,8,16,3,4,11,12,3,8,3,1,0,0
17/08/13,17h00,Nice,Rennes,2,1,H,1,1,D,,15,4,5,3,12,19,5,0,0,1,0,1
17/08/13,21h00,Reims,Lille,2,1,H,1,0,H,,10,15,3,3,12,14,3,7,1,0,0,0
17/08/13,19h00,St Etienne,Guingamp,1,0,H,0,0,D,,9,5,1,2,13,11,6,4,4,3,0,0
17/08/13,17h00,Toulouse,Bordeaux,1,1,D,1,1,D,,12,8,6,4,16,17,6,2,3,1,0,1
18/08/13,17h00,Lorient,Nantes,2,1,H,1,1,D,,14,8,8,3,8,19,10,3,1,1,0,0
18/08/13,21h00,Monaco,Montpellier,4,1,H,2,1,H,,13,5,7,3,21,15,9,1,2,3,0,1
18/08/13,19h00,Paris SG,Ajaccio,1,1,D,0,1,A,,37,1,15,1,17,11,12,1,2,3,0,0
23/08/13,21h00,Monaco,Toulouse,0,0,D,0,0,D,,21,3,5,0,17,24,4,1,1,3,0,0
24/08/13,21h00,Bordeaux,Bastia,1,0,H,1,0,H,,12,4,5,2,13,17,2,4,2,2,0,0
24/08/13,17h00,Evian Thonon Gaillard,Rennes,1,2,A,0,2,A,,17,11,5,4,10,14,3,5,2,3,0,0
24/08/13,19h00,Guingamp,Lorient,2,0,H,1,0,H,,10,11,3,5,17,17,6,5,2,2,0,0
24/08/13,21h00,Lyon,Reims,0,1,A,0,0,D,,19,6,5,2,17,13,7,1,1,2,0,0
24/08/13,19h00,Montpellier,Sochaux,2,1,H,1,1,D,,12,9,4,1,24,17,1,3,2,3,0,1
24/08/13,19h00,Valenciennes,Marseille,0,1,A,0,0,D,,7,18,2,6,22,15,6,11,1,3,0,0
25/08/13,19h00,Ajaccio,Nice,0,0,D,0,0,D,,5,10,2,2,20,13,5,3,0,0,0,0
25/08/13,21h00,Lille,St Etienne,1,0,H,1,0,H,,12,6,5,2,11,20,4,2,2,1,0,0
25/08/13,17h00,Nantes,Paris SG,1,2,A,0,1,A,,13,13,3,6,10,14,8,6,1,1,0,0
31/08/13,19h00,Bastia,Toulouse,2,1,H,1,0,H,,7,9,4,3,15,18,4,3,2,4,1,0
31/08/13,21h00,Evian Thonon Gaillard,Lyon,2,1,H,2,0,H,,15,6,5,2,10,13,3,10,1,1,0,0
31/08/13,21h00,Lorient,Valenciennes,1,0,H,1,0,H,,15,8,3,1,9,19,6,5,1,1,0,1
31/08/13,17h00,Paris SG,Guingamp,2,0,H,0,0,D,,25,7,7,1,13,15,13,1,1,2,0,0
31/08/13,17h00,Reims,Nantes,0,0,D,0,0,D,,7,9,2,2,11,3,4,0,1,0,0,0
31/08/13,17h00,Rennes,Lille,0,0,D,0,0,D,,11,10,2,1,10,15,2,2,1,2,0,0
31/08/13,17h00,Sochaux,Ajaccio,0,0,D,0,0,D,,17,9,5,2,8,11,5,2,1,1,0,0
01/09/13,21h00,Marseille,Monaco,1,2,A,1,0,H,,10,12,2,4,16,13,6,10,2,3,0,0
01/09/13,19h00,Nice,Montpellier,2,2,D,2,1,H,,12,5,4,3,18,19,4,2,3,4,0,1
01/09/13,19h00,St Etienne,Bordeaux,2,1,H,1,0,H,,12,13,5,5,17,10,4,4,2,1,0,0
13/09/13,19h00,Bordeaux,Paris SG,0,2,A,0,1,A,,6,14,1,7,14,13,1,5,2,2,0,0
14/09/13,19h00,Ajaccio,Evian Thonon Gaillard,2,3,A,0,2,A,,18,12,8,5,10,20,7,5,2,3,0,0
14/09/13,19h00,Guingamp,Bastia,1,1,D,0,0,D,,7,11,5,1,19,18,1,1,2,3,0,0
14/09/13,19h00,Montpellier,Reims,0,0,D,0,0,D,,16,9,3,3,8,8,4,3,2,2,0,0
14/09/13,21h00,Nantes,Sochaux,1,0,H,0,0,D,,11,1,5,0,12,8,3,2,0,1,0,0
14/09/13,21h00,Toulouse,Marseille,1,1,D,0,0,D,,20,15,4,8,17,13,6,5,2,2,0,0
14/09/13,21h00,Valenciennes,St Etienne,1,3,A,0,1,A,,10,10,3,4,11,9,5,0,2,1,0,0
15/09/13,19h00,Lille,Nice,0,2,A,0,2,A,,22,5,9,4,16,16,10,2,3,3,0,0
15/09/13,21h00,Lyon,Rennes,0,0,D,0,0,D,,18,5,6,3,16,14,8,2,0,1,0,0
15/09/13,17h00,Monaco,Lorient,1,0,H,1,0,H,,11,6,3,0,13,16,2,1,3,3,0,0
20/09/13,21h00,St Etienne,Toulouse,1,2,A,1,0,H,,18,11,3,6,19,17,4,5,2,2,0,0
21/09/13,19h00,Bastia,Marseille,0,0,D,0,0,D,,12,11,5,1,19,10,4,4,2,0,0,0
21/09/13,19h00,Evian Thonon Gaillard,Montpellier,2,2,D,0,1,A,,12,8,5,3,12,11,3,1,2,3,0,1
21/09/13,19h00,Reims,Guingamp,1,1,D,0,1,A,,15,15,3,4,15,12,7,6,3,1,0,0
21/09/13,17h00,Rennes,Ajaccio,2,0,H,2,0,H,,14,17,7,2,20,13,6,6,2,2,0,0
21/09/13,21h00,Sochaux,Lille,0,2,A,0,2,A,,14,15,6,8,18,14,4,4,2,1,0,0
22/09/13,21h00,Lorient,Bordeaux,3,3,D,2,3,A,,16,11,10,3,13,14,3,4,1,2,0,0
22/09/13,17h00,Lyon,Nantes,3,1,H,1,1,D,,11,9,5,2,18,12,6,4,0,0,0,0
22/09/13,17h00,Nice,Valenciennes,4,0,H,2,0,H,,10,8,5,1,13,14,4,3,1,2,0,0
22/09/13,21h00,Paris SG,Monaco,1,1,D,1,1,D,,18,15,2,4,5,18,6,2,1,3,0,0
24/09/13,17h00,Lille,Evian Thonon Gaillard,3,0,H,2,0,H,,12,6,5,1,16,12,4,2,1,2,0,0
24/09/13,21h00,Marseille,St Etienne,2,1,H,2,1,H,,12,11,5,2,10,17,8,11,1,1,0,0
25/09/13,19h00,Ajaccio,Lyon,2,1,H,1,0,H,,7,15,3,8,18,18,1,6,5,2,0,1
25/09/13,21h00,Bordeaux,Reims,0,0,D,0,0,D,,20,9,7,3,15,23,15,4,1,2,0,0
25/09/13,17h00,Guingamp,Sochaux,5,1,H,3,0,H,,14,15,7,6,14,18,3,2,2,4,0,0
25/09/13,19h00,Monaco,Bastia,3,0,H,2,0,H,,19,12,9,5,9,14,10,5,1,1,0,0
25/09/13,21h00,Nantes,Nice,2,0,H,1,0,H,,16,4,6,0,10,12,8,0,1,1,0,0
25/09/13,19h00,Toulouse,Lorient,1,0,H,0,0,D,,14,11,4,4,13,17,6,3,1,2,0,0
25/09/13,17h00,Valenciennes,Paris SG,0,1,A,0,1,A,,14,6,3,2,13,10,8,4,1,4,0,0
26/09/13,21h00,Montpellier,Rennes,0,0,D,0,0,D,,20,8,4,3,18,14,7,2,3,1,0,0
28/09/13,17h00,Evian Thonon Gaillard,Bordeaux,1,1,D,1,0,H,,11,17,2,7,23,17,6,8,3,3,0,1
28/09/13,21h00,Lorient,Marseille,0,2,A,0,0,D,,15,12,6,4,6,11,6,2,1,1,0,0
28/09/13,17h00,Lyon,Lille,0,0,D,0,0,D,,6,14,1,5,15,12,1,7,3,2,0,0
28/09/13,17h00,Nice,Guingamp,1,0,H,0,0,D,,16,10,7,4,17,16,10,3,1,2,0,0
