Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
19/08/06,17h30,Arsenal,Aston Villa,1,1,D,0,0,D,G Poll,19,5,11,3,10,19,18,1,1,2,0,0
19/08/06,15h00,Bolton,Tottenham,2,0,H,2,0,H,P Dowd,8,9,6,6,19,22,6,3,0,1,0,0
19/08/06,17h30,Everton,Watford,2,1,H,1,0,H,P Walton,6,12,2,8,12,13,0,6,2,2,0,0
19/08/06,12h30,Newcastle,Wigan,2,1,H,1,0,H,M Atkinson,9,14,8,9,17,20,4,11,1,2,0,0
19/08/06,12h30,Portsmouth,Blackburn,3,0,H,1,0,H,A Wiley,21,9,16,7,20,17,6,2,2,1,0,2
19/08/06,17h30,Reading,Middlesbrough,3,2,H,2,2,D,M Halsey,14,7,9,5,8,15,8,2,1,3,0,0
19/08/06,20h00,Sheffield United,Liverpool,1,1,D,0,0,D,R Styles,5,12,3,7,10,16,0,12,1,2,0,0
19/08/06,20h00,West Ham,Charlton,3,1,H,0,1,A,H Webb,16,4,5,2,14,14,6,0,2,2,0,1
20/08/06,12h30,Chelsea,Man City,3,0,H,2,0,H,S Bennett,10,5,4,2,7,15,5,2,1,3,0,1
20/08/06,17h30,Man United,Fulham,5,1,H,4,1,H,A Marriner,15,12,7,8,14,20,5,2,1,1,0,0
22/08/06,20h00,Tottenham,Sheffield United,2,0,H,2,0,H,P Walton,18,6,13,3,5,9,6,4,0,1,0,0
22/08/06,20h00,Watford,West Ham,1,1,D,0,0,D,M Atkinson,11,8,4,4,12,12,5,1,0,0,0,0
23/08/06,20h00,Aston Villa,Reading,2,1,H,1,1,D,L Mason,11,5,6,3,9,6,2,7,2,1,0,1
23/08/06,12h30,Blackburn,Everton,1,1,D,0,0,D,U Rennie,10,10,5,4,22,20,5,3,4,3,0,0
23/08/06,15h00,Charlton,Man United,0,3,A,0,0,D,C Foy,8,21,2,11,14,11,4,11,1,1,0,0
23/08/06,12h30,Fulham,Bolton,1,1,D,0,0,D,A Wiley,11,4,4,1,9,16,1,6,0,2,0,0
23/08/06,15h00,Man City,Portsmouth,0,0,D,0,0,D,D Gallagher,6,3,3,1,15,13,8,0,2,1,0,0
23/08/06,20h00,Middlesbrough,Chelsea,2,1,H,0,1,A,H Webb,9,8,2,5,15,7,3,3,2,2,0,0
26/08/06,20h00,Charlton,Bolton,2,0,H,0,0,D,M Dean,9,7,5,2,11,17,6,5,1,4,1,1
26/08/06,12h30,Fulham,Sheffield United,1,0,H,1,0,H,G Poll,10,9,5,1,17,17,9,5,3,3,0,0
26/08/06,20h00,Liverpool,West Ham,2,1,H,2,1,H,A Wiley,19,8,8,3,15,6,6,1,1,0,0,0
26/08/06,20h00,Man City,Arsenal,1,0,H,1,0,H,U Rennie,10,17,3,6,16,8,2,8,1,1,0,0
26/08/06,15h00,Tottenham,Everton,0,2,A,0,0,D,M Halsey,15,6,6,2,9,12,7,2,1,1,0,1
26/08/06,12h30,Watford,Man United,1,2,A,1,1,D,P Dowd,8,19,7,10,20,14,4,7,1,1,0,0
26/08/06,17h30,Wigan,Reading,1,0,H,1,0,H,M Riley,15,5,5,3,12,14,4,10,2,2,0,0
27/08/06,20h00,Aston Villa,Newcastle,2,0,H,2,0,H,H Webb,9,8,7,5,14,12,2,3,2,2,0,0
27/08/06,15h00,Blackburn,Chelsea,0,2,A,0,0,D,M Clattenburg,12,14,3,8,10,15,7,3,3,1,0,0
28/08/06,12h30,Middlesbrough,Portsmouth,0,4,A,0,1,A,C Foy,19,10,8,7,15,9,8,6,2,1,0,0
09/09/06,20h00,Arsenal,Middlesbrough,1,1,D,0,1,A,R Styles,20,1,12,1,5,17,15,0,1,6,0,1
09/09/06,15h00,Bolton,Watford,1,0,H,0,0,D,M Clattenburg,7,15,2,6,13,15,6,6,3,1,0,0
09/09/06,12h30,Chelsea,Charlton,2,1,H,1,0,H,A Wiley,19,3,6,2,12,7,6,3,2,1,0,0
09/09/06,17h30,Everton,Liverpool,3,0,H,2,0,H,G Poll,8,21,6,5,22,13,2,11,1,3,0,0
09/09/06,17h30,Man United,Tottenham,1,0,H,1,0,H,M Riley,10,9,5,4,12,17,5,4,2,2,0,0
09/09/06,20h00,Newcastle,Fulham,1,2,A,0,0,D,C Foy,15,8,7,5,16,12,4,7,1,1,0,0
09/09/06,20h00,Portsmouth,Wigan,1,0,H,0,0,D,P Walton,9,11,7,5,14,5,6,9,0,1,0,0
09/09/06,15h00,Sheffield United,Blackburn,0,0,D,0,0,D,M Dean,14,12,9,1,12,11,7,6,2,2,0,0
10/09/06,15h00,West Ham,Aston Villa,1,1,D,0,1,A,S Bennett,7,10,1,6,15,9,3,5,2,2,0,0
11/09/06,20h00,Reading,Man City,1,0,H,1,0,H,H Webb,12,15,7,8,6,16,6,4,0,4,0,1
16/09/06,12h30,Bolton,Middlesbrough,0,0,D,0,0,D,S Bennett,13,14,3,7,7,19,9,4,0,1,0,0
16/09/06,12h30,Charlton,Portsmouth,0,1,A,0,0,D,P Dowd,18,12,5,5,6,10,9,4,0,2,0,0
16/09/06,20h00,Everton,Wigan,2,2,D,0,0,D,A Wiley,14,10,9,7,14,23,4,2,1,5,0,0
16/09/06,20h00,Sheffield United,Reading,1,2,A,0,2,A,A Marriner,14,8,7,2,12,6,8,7,2,1,0,0
16/09/06,20h00,Watford,Aston Villa,0,0,D,0,0,D,M Dean,12,9,5,4,12,10,7,1,1,0,0,0
17/09/06,20h00,Blackburn,Man City,4,2,H,2,2,D,M Atkinson,11,15,5,8,11,11,4,3,2,3,0,0
17/09/06,15h00,Chelsea,Liverpool,1,0,H,1,0,H,M Riley,4,9,3,6,13,17,1,3,3,2,1,0
17/09/06,17h30,Man United,Arsenal,0,1,A,0,0,D,G Poll,17,14,9,7,11,11,10,5,2,2,0,0
17/09/06,12h30,Tottenham,Fulham,0,0,D,0,0,D,M Clattenburg,18,8,8,3,11,20,12,2,2,2,0,0
17/09/06,15h00,West Ham,Newcastle,0,2,A,0,0,D,R Styles,10,16,7,9,11,11,5,6,3,3,0,0
20/09/06,17h30,Liverpool,Newcastle,2,0,H,1,0,H,M Halsey,22,11,11,6,12,13,8,6,1,1,0,0
23/09/06,17h30,Arsenal,Sheffield United,3,0,H,0,0,D,A Wiley,14,5,11,4,11,8,7,2,2,1,0,0
23/09/06,12h30,Aston Villa,Charlton,2,0,H,1,0,H,M Riley,12,8,5,3,10,14,4,4,0,1,0,0
23/09/06,15h00,Fulham,Chelsea,0,2,A,0,0,D,M Halsey,7,13,4,5,19,9,5,7,2,1,0,0
23/09/06,20h00,Liverpool,Tottenham,3,0,H,0,0,D,H Webb,14,5,6,1,12,9,6,0,1,0,0,0
23/09/06,15h00,Man City,West Ham,2,0,H,0,0,D,C Foy,17,4,8,0,12,15,4,6,0,0,0,0
23/09/06,17h30,Middlesbrough,Blackburn,0,1,A,0,1,A,G Poll,13,13,7,7,14,17,6,7,1,3,0,0
23/09/06,15h00,Reading,Man United,1,1,D,0,0,D,P Walton,3,18,1,8,6,10,2,6,0,0,0,0
23/09/06,17h30,Wigan,Watford,1,1,D,1,0,H,R Styles,8,10,4,4,15,15,4,3,2,2,0,0
24/09/06,20h00,Newcastle,Everton,1,1,D,1,1,D,S Bennett,21,12,13,5,12,18,9,6,2,4,1,1
25/09/06,17h30,Portsmouth,Bolton,0,1,A,0,1,A,U Rennie,13,4,5,3,8,13,11,2,2,2,0,0
30/09/06,15h00,Bolton,Liverpool,2,0,H,1,0,H,P Dowd,4,13,3,6,15,12,1,10,2,1,0,0
30/09/06,17h30,Charlton,Arsenal,1,2,A,1,1,D,M Clattenburg,10,21,6,12,19,8,4,7,4,4,0,0
30/09/06,12h30,Chelsea,Aston Villa,1,1,D,1,1,D,G Poll,18,9,10,5,13,14,7,5,0,2,0,0
30/09/06,20h00,Everton,Man City,1,1,D,1,0,H,A Marriner,14,11,10,5,14,17,8,4,2,2,0,0
30/09/06,12h30,Sheffield United,Middlesbrough,2,1,H,1,0,H,P Walton,13,7,7,2,8,12,10,4,1,3,0,0
01/10/06,17h30,Blackburn,Wigan,2,1,H,1,1,D,H Webb,12,11,8,6,16,17,5,4,3,4,0,0
01/10/06,17h30,Man United,Newcastle,2,0,H,1,0,H,M Dean,24,3,11,3,5,13,8,3,1,3,0,0
01/10/06,20h00,Tottenham,Portsmouth,2,1,H,2,1,H,C Foy,8,9,6,6,8,10,6,10,0,0,0,0
01/10/06,12h30,West Ham,Reading,0,1,A,0,1,A,U Rennie,13,2,8,1,8,7,10,5,4,2,0,0
02/10/06,12h30,Watford,Fulham,3,3,D,1,0,H,M Riley,9,9,4,3,24,12,3,2,1,3,0,0
14/10/06,15h00,Arsenal,Watford,3,0,H,2,0,H,H Webb,15,9,7,3,6,14,8,4,0,1,0,0
14/10/06,12h30,Aston Villa,Tottenham,1,1,D,0,0,D,M Atkinson,12,10,6,5,13,11,2,2,0,1,0,1
14/10/06,12h30,Liverpool,Blackburn,1,1,D,0,1,A,M Clattenburg,18,5,9,3,6,15,8,1,1,3,0,0
