Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
08/09/96,20h45,Bologna,Lazio,1,0,H,1,0,H,,,,,,,,,,,,,
08/09/96,15h00,Cagliari,Atalanta,2,0,H,1,0,H,,,,,,,,,,,,,
08/09/96,20h45,Fiorentina,Vicenza,2,4,A,1,2,A,,,,,,,,,,,,,
08/09/96,18h00,Milan,Verona,4,1,H,0,1,A,,,,,,,,,,,,,
08/09/96,20h45,Parma,Napoli,3,0,H,1,0,H,,,,,,,,,,,,,
08/09/96,18h00,Perugia,Sampdoria,1,0,H,1,0,H,,,,,,,,,,,,,
08/09/96,18h00,Reggiana,Juventus,1,1,D,1,1,D,,,,,,,,,,,,,
08/09/96,15h00,Roma,Piacenza,3,1,H,2,0,H,,,,,,,,,,,,,
08/09/96,15h00,Udinese,Inter,0,1,A,0,1,A,,,,,,,,,,,,,
15/09/96,20h45,Atalanta,Fiorentina,2,2,D,0,1,A,,,,,,,,,,,,,
15/09/96,20h45,Inter,Perugia,1,0,H,0,0,D,,,,,,,,,,,,,
15/09/96,20h45,Juventus,Cagliari,2,1,H,1,0,H,,,,,,,,,,,,,
15/09/96,15h00,Lazio,Udinese,0,1,A,0,0,D,,,,,,,,,,,,,
15/09/96,15h00,Napoli,Reggiana,1,0,H,1,0,H,,,,,,,,,,,,,
15/09/96,15h00,Piacenza,Parma,0,0,D,0,0,D,,,,,,,,,,,,,
15/09/96,15h00,Sampdoria,Milan,2,1,H,0,1,A,,,,,,,,,,,,,
15/09/96,15h00,Verona,Bologna,0,2,A,0,1,A,,,,,,,,,,,,,
15/09/96,20h45,Vicenza,Roma,0,2,A,0,1,A,,,,,,,,,,,,,
22/09/96,15h00,Bologna,Milan,1,2,A,0,0,D,,,,,,,,,,,,,
22/09/96,20h45,Cagliari,Udinese,1,2,A,1,2,A,,,,,,,,,,,,,
22/09/96,18h00,Fiorentina,Verona,2,0,H,1,0,H,,,,,,,,,,,,,
22/09/96,18h00,Inter,Lazio,1,1,D,1,0,H,,,,,,,,,,,,,
22/09/96,20h45,Napoli,Piacenza,1,1,D,1,0,H,,,,,,,,,,,,,
22/09/96,20h45,Parma,Reggiana,3,2,H,2,1,H,,,,,,,,,,,,,
22/09/96,15h00,Perugia,Juventus,1,2,A,0,0,D,,,,,,,,,,,,,
22/09/96,18h00,Roma,Sampdoria,1,4,A,0,0,D,,,,,,,,,,,,,
22/09/96,20h45,Vicenza,Atalanta,4,1,H,0,1,A,,,,,,,,,,,,,
29/09/96,20h45,Atalanta,Inter,1,1,D,1,1,D,,,,,,,,,,,,,
29/09/96,15h00,Juventus,Fiorentina,1,0,H,1,0,H,,,,,,,,,,,,,
29/09/96,15h00,Lazio,Parma,2,1,H,1,0,H,,,,,,,,,,,,,
29/09/96,15h00,Milan,Perugia,3,0,H,1,0,H,,,,,,,,,,,,,
29/09/96,20h45,Piacenza,Vicenza,1,0,H,1,0,H,,,,,,,,,,,,,
29/09/96,18h00,Reggiana,Roma,1,1,D,0,1,A,,,,,,,,,,,,,
29/09/96,15h00,Sampdoria,Napoli,0,1,A,0,0,D,,,,,,,,,,,,,
29/09/96,18h00,Udinese,Bologna,2,2,D,2,1,H,,,,,,,,,,,,,
29/09/96,18h00,Verona,Cagliari,2,2,D,1,2,A,,,,,,,,,,,,,
13/10/96,20h45,Bologna,Sampdoria,2,1,H,0,0,D,,,,,,,,,,,,,
13/10/96,18h00,Cagliari,Parma,0,1,A,0,1,A,,,,,,,,,,,,,
13/10/96,15h00,Fiorentina,Lazio,0,0,D,0,0,D,,,,,,,,,,,,,
13/10/96,18h00,Inter,Piacenza,2,0,H,0,0,D,,,,,,,,,,,,,
13/10/96,18h00,Napoli,Udinese,1,1,D,0,0,D,,,,,,,,,,,,,
13/10/96,15h00,Perugia,Atalanta,3,1,H,1,1,D,,,,,,,,,,,,,
13/10/96,15h00,Reggiana,Verona,2,2,D,1,1,D,,,,,,,,,,,,,
13/10/96,15h00,Roma,Milan,3,0,H,2,0,H,,,,,,,,,,,,,
13/10/96,20h45,Vicenza,Juventus,2,1,H,1,0,H,,,,,,,,,,,,,
20/10/96,20h45,Bologna,Fiorentina,0,2,A,0,1,A,,,,,,,,,,,,,
20/10/96,20h45,Juventus,Inter,2,0,H,1,0,H,,,,,,,,,,,,,
20/10/96,18h00,Lazio,Cagliari,2,1,H,1,0,H,,,,,,,,,,,,,
20/10/96,15h00,Milan,Napoli,3,1,H,1,0,H,,,,,,,,,,,,,
20/10/96,20h45,Parma,Perugia,1,2,A,0,2,A,,,,,,,,,,,,,
20/10/96,20h45,Piacenza,Reggiana,3,0,H,1,0,H,,,,,,,,,,,,,
20/10/96,18h00,Sampdoria,Atalanta,2,0,H,2,0,H,,,,,,,,,,,,,
20/10/96,15h00,Udinese,Vicenza,1,1,D,0,0,D,,,,,,,,,,,,,
20/10/96,20h45,Verona,Roma,2,1,H,1,0,H,,,,,,,,,,,,,
27/10/96,15h00,Atalanta,Lazio,2,1,H,1,0,H,,,,,,,,,,,,,
27/10/96,20h45,Fiorentina,Milan,1,0,H,0,0,D,,,,,,,,,,,,,
27/10/96,18h00,Inter,Parma,3,1,H,1,1,D,,,,,,,,,,,,,
27/10/96,20h45,Napoli,Bologna,3,2,H,1,1,D,,,,,,,,,,,,,
27/10/96,18h00,Perugia,Udinese,2,1,H,1,1,D,,,,,,,,,,,,,
27/10/96,20h45,Piacenza,Verona,2,0,H,1,0,H,,,,,,,,,,,,,
27/10/96,15h00,Reggiana,Sampdoria,1,1,D,1,1,D,,,,,,,,,,,,,
27/10/96,15h00,Roma,Juventus,1,1,D,0,0,D,,,,,,,,,,,,,
27/10/96,20h45,Vicenza,Cagliari,2,0,H,1,0,H,,,,,,,,,,,,,
03/11/96,20h45,Bologna,Roma,3,2,H,1,0,H,,,,,,,,,,,,,
03/11/96,15h00,Cagliari,Perugia,2,1,H,1,0,H,,,,,,,,,,,,,
03/11/96,20h45,Juventus,Napoli,1,1,D,0,0,D,,,,,,,,,,,,,
03/11/96,18h00,Lazio,Vicenza,0,2,A,0,1,A,,,,,,,,,,,,,
03/11/96,15h00,Milan,Atalanta,1,1,D,0,1,A,,,,,,,,,,,,,
03/11/96,18h00,Parma,Fiorentina,0,0,D,0,0,D,,,,,,,,,,,,,
03/11/96,15h00,Sampdoria,Piacenza,3,0,H,1,0,H,,,,,,,,,,,,,
03/11/96,15h00,Udinese,Reggiana,2,1,H,0,0,D,,,,,,,,,,,,,
03/11/96,20h45,Verona,Inter,0,1,A,0,0,D,,,,,,,,,,,,,
17/11/96,20h45,Atalanta,Udinese,1,0,H,1,0,H,,,,,,,,,,,,,
17/11/96,20h45,Inter,Fiorentina,2,2,D,0,1,A,,,,,,,,,,,,,
17/11/96,20h45,Juventus,Milan,0,0,D,0,0,D,,,,,,,,,,,,,
17/11/96,20h45,Napoli,Perugia,4,2,H,1,1,D,,,,,,,,,,,,,
17/11/96,15h00,Piacenza,Lazio,1,3,A,1,2,A,,,,,,,,,,,,,
17/11/96,15h00,Reggiana,Bologna,1,3,A,1,0,H,,,,,,,,,,,,,
17/11/96,18h00,Roma,Cagliari,3,1,H,1,0,H,,,,,,,,,,,,,
17/11/96,20h45,Sampdoria,Parma,1,1,D,1,0,H,,,,,,,,,,,,,
17/11/96,20h45,Verona,Vicenza,2,2,D,2,1,H,,,,,,,,,,,,,
24/11/96,20h45,Bologna,Atalanta,3,1,H,1,0,H,,,,,,,,,,,,,
24/11/96,20h45,Cagliari,Napoli,1,1,D,0,0,D,,,,,,,,,,,,,
24/11/96,15h00,Fiorentina,Piacenza,1,1,D,1,0,H,,,,,,,,,,,,,
24/11/96,15h00,Lazio,Sampdoria,1,1,D,0,1,A,,,,,,,,,,,,,
24/11/96,18h00,Milan,Inter,1,1,D,1,1,D,,,,,,,,,,,,,
24/11/96,20h45,Parma,Roma,0,0,D,0,0,D,,,,,,,,,,,,,
24/11/96,20h45,Perugia,Verona,3,1,H,2,0,H,,,,,,,,,,,,,
24/11/96,18h00,Vicenza,Reggiana,2,0,H,1,0,H,,,,,,,,,,,,,
01/12/96,18h00,Atalanta,Napoli,2,2,D,1,0,H,,,,,,,,,,,,,
01/12/96,15h00,Inter,Cagliari,2,2,D,1,1,D,,,,,,,,,,,,,
01/12/96,18h00,Juventus,Bologna,1,0,H,0,0,D,,,,,,,,,,,,,
01/12/96,15h00,Perugia,Vicenza,1,1,D,1,1,D,,,,,,,,,,,,,
01/12/96,15h00,Piacenza,Milan,3,2,H,2,0,H,,,,,,,,,,,,,
01/12/96,15h00,Reggiana,Lazio,0,2,A,0,0,D,,,,,,,,,,,,,
01/12/96,20h45,Roma,Fiorentina,3,3,D,1,2,A,,,,,,,,,,,,,
01/12/96,15h00,Udinese,Parma,3,1,H,0,1,A,,,,,,,,,,,,,
01/12/96,18h00,Verona,Sampdoria,1,1,D,0,0,D,,,,,,,,,,,,,
08/12/96,20h45,Bologna,Piacenza,1,1,D,0,0,D,,,,,,,,,,,,,
08/12/96,18h00,Cagliari,Reggiana,1,1,D,1,0,H,,,,,,,,,,,,,
08/12/96,15h00,Fiorentina,Perugia,4,1,H,0,0,D,,,,,,,,,,,,,
08/12/96,15h00,Lazio,Roma,0,0,D,0,0,D,,,,,,,,,,,,,
08/12/96,20h45,Milan,Udinese,2,1,H,0,0,D,,,,,,,,,,,,,
08/12/96,18h00,Napoli,Verona,1,0,H,0,0,D,,,,,,,,,,,,,
08/12/96,18h00,Parma,Atalanta,0,0,D,0,0,D,,,,,,,,,,,,,
08/12/96,18h00,Sampdoria,Juventus,0,1,A,0,1,A,,,,,,,,,,,,,
08/12/96,15h00,Vicenza,Inter,1,1,D,1,0,H,,,,,,,,,,,,,
